,title,condition,price,location,price($),country_code,store_name,store_type,simple_condition,brand,has_brand,title_length,log_price,log_title_length
10985,Vipa Jacket Used Man Genuine Leather Black TG Eu 50 PGC005L,Pre-Owned,$17.83,Italy,17.83,IT,eBay,International,Used,Other,False,59,2.935451342669061,4.0943445622221
10987,Generic Jacket Genuine Leather Used Woman Size 56 Brown LLV160,Pre-Owned,$38.85,Italy,38.85,IT,eBay,International,Used,Other,False,62,3.685122405236224,4.143134726391533
10988,Jacket Skin Used Man Brown Size 50 PGC123PI,Pre-Owned,$26.11,Italy,26.11,IT,eBay,International,Used,Other,False,43,3.299902663510574,3.784189633918261
10989,Cvl Men's Genuine Leather Jacket Size 50 Brown LLE17,Pre-Owned,$66.14,Italy,66.14,IT,eBay,International,Used,Other,False,52,4.206779991551889,3.970291913552122
10990,Jacket Skin Used Man Brown Size 50 PGS081PI,Pre-Owned,$34.36,Italy,34.36,IT,eBay,International,Used,Other,False,43,3.5655812377694427,3.784189633918261
10991,Jacket Skin Used Woman Brown Size 46 PGS118PI,Pre-Owned,$20.25,Italy,20.25,IT,eBay,International,Used,Other,False,45,3.056356895370426,3.828641396489095
10992,Effegi Leather Jacket Used Woman Size 44 Black LLR20,Pre-Owned,$84.97,Italy,84.97,IT,eBay,International,Used,Other,False,52,4.453998398186353,3.970291913552122
10993,Conbipel Leather Jacket Woman Black Size M PGE086LZ,Pre-Owned,$27.83,Italy,27.83,IT,eBay,International,Used,Other,False,51,3.3614165116503107,3.9512437185814275
10994,Jacket Coat Conbipel Man Skin Colour Brick Size 54 Cod. AM438,Pre-Owned,$131.49,Italy,131.49,IT,eBay,International,Used,Other,False,61,4.886507170880032,4.127134385045092
10995,Urban Code Soft Leather Jacket - Size 100,Pre-Owned,$151.68,South Korea,151.68,KR,eBay,International,Used,Other,False,41,5.028344227877029,3.7376696182833684
10996,LP Collection Jacket Genuine Leather Used Woman Size 44 Brown LLV08,Pre-Owned,$50.19,Italy,50.19,IT,eBay,International,Used,Other,False,67,3.935544200469492,4.219507705176107
10997,Conbipel Leather Jacket Used Woman Black Size 46 PGS1146PI,Pre-Owned,$38.85,Italy,38.85,IT,eBay,International,Used,Other,False,58,3.685122405236224,4.07753744390572
10998,Jacket Man Brown Camel Size 52 Cod. AM427,Pre-Owned,$50.07,Italy,50.07,IT,eBay,International,Used,Other,False,41,3.9331972406595526,3.7376696182833684
10999,Promod Jacket Eco-Leather Used Man Brown Size 42 XXR06L,Pre-Owned,$38.93,Italy,38.93,IT,eBay,International,Used,Other,False,55,3.6871279210751298,4.02535169073515
11000,Les Boulevards Leather Jacket Men Black Size 48 PGC063LZ,Pre-Owned,$19.10,Italy,19.1,IT,eBay,International,Used,Other,False,56,3.0007198150650303,4.04305126783455
